product_id,irisu,id_box,,
P0855-39100,200,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0872-72300,54,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0881-27500,100,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0890-31330,2000,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1126-62920,1600,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1126-62930,1600,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1126-93000,1600,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1126-93010,1600,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1127-62920,400,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1127-62930,400,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1127-93000,400,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1127-93100,300,d,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1141-27500,500,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1141-27510,500,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1141-34200,4000,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1171-02E00,150,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1171-02E10,150,0,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1189-02E00,60,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1189-02E10,52,0,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1189-02E20,52,0,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1189-02E30,52,0,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1189-02N00,100,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1189-02N10,100,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1189-22040,69,0,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1189-22050,69,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1189-31340,100,e,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1189-31350,100,e,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1189-55900,100,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1192-62900,1000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1192-62910,1000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1226-31320,80,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P122A-31330,80,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1295-10M00,5000,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1295-82200,5000,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P14J,1000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P160K-30130,100,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P160K-39140,120,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P160K-44900,150,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P160K-BS77,400,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P160K-BS85,800,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P160K-CAA34,360,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P160K-F5,1000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P160K-L78,4000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1663-08920,1000,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1663-62900,400,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1663-62910,520,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1663-62920,400,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1663-62930,400,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1664-62900,500,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P1664-62910,500,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
